,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
131,September,"Earth, Wind & Fire",9348,https://open.spotify.com/track/4f2GB5ZC7vOUYPAg69N2Xw
132,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",9336,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
133,"Hotel California - 2013 Remaster",Eagles,9332,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
134,"Billie Jean","Michael Jackson",9294,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5
135,"We Found Love",Rihanna,9252,https://open.spotify.com/track/1zv3WFUbZ5vPxFq9I2jAU1
136,"What You Know Bout Love","Pop Smoke",9229,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
137,"Party In The U.S.A.","Miley Cyrus",9169,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
138,"Location (feat. Burna Boy)",Dave,9148,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI
139,"Tick Tock (feat. 24kGoldn)","Clean Bandit",9131,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
140,"Lovely Day","Bill Withers",9086,https://open.spotify.com/track/0bRXwKfigvpKZUurwqAlEh
141,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",9051,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
142,"I Gotta Feeling","Black Eyed Peas",8979,https://open.spotify.com/track/4kLLWz7srcuLKA7Et40PQR
143,"A92 x Fumez The Engineer - Plugged In Freestyle","Fumez The Engineer",8978,https://open.spotify.com/track/0goOUCNL6MYrqSVvGhvsxw
144,"Sweater Weather","The Neighbourhood",8953,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
145,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John",8951,https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY
146,"Take Me To Church",Hozier,8936,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
147,Afterglow,Wilkinson,8898,https://open.spotify.com/track/6LW3Z1GqbL78TIjfDyg4zp
148,"The Nights",Avicii,8873,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
149,"Three Little Birds","Bob Marley & The Wailers",8810,https://open.spotify.com/track/6A9mKXlFRPMPem6ygQSt7z
